path	variant	line	kind	name
Grass/ABI/Win64/Convention.lean	113f938007b7	62	inductive	Volatility
Grass/ABI/Win64/Convention.lean	113f938007b7	79	def	volatility
Grass/ABI/Win64/Convention.lean	113f938007b7	116	def	volatileRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	119	def	nonvolatileRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	123	theorem	volatility_total
Grass/ABI/Win64/Convention.lean	113f938007b7	128	theorem	volatile_not_nonvolatile
Grass/ABI/Win64/Convention.lean	113f938007b7	135	theorem	classification_covers_all
Grass/ABI/Win64/Convention.lean	113f938007b7	140	theorem	rsi_rdi_nonvolatile
Grass/ABI/Win64/Convention.lean	113f938007b7	157	def	argumentRegister
Grass/ABI/Win64/Convention.lean	113f938007b7	166	def	argumentRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	169	def	registerArgumentCount
Grass/ABI/Win64/Convention.lean	113f938007b7	171	theorem	argumentRegister_beyond
Grass/ABI/Win64/Convention.lean	113f938007b7	182	theorem	argumentRegisters_volatile
Grass/ABI/Win64/Convention.lean	113f938007b7	187	theorem	argumentRegister_injective
Grass/ABI/Win64/Convention.lean	113f938007b7	209	def	shadowSpaceBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	212	theorem	shadowSpace_matches_argumentRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	216	def	stackAlignment
Grass/ABI/Win64/Convention.lean	113f938007b7	226	def	entryMisalignment
Grass/ABI/Win64/Convention.lean	113f938007b7	228	theorem	entryMisalignment_lt_alignment
Grass/ABI/Win64/Convention.lean	113f938007b7	237	def	rspAfterPrologue
Grass/ABI/Win64/Convention.lean	113f938007b7	242	def	AlignedForCall
Grass/ABI/Win64/Convention.lean	113f938007b7	255	theorem	odd_pushes_align
Grass/ABI/Win64/Convention.lean	113f938007b7	260	theorem	even_pushes_misalign
Grass/ABI/Win64/Convention.lean	113f938007b7	268	structure	CallFrameLayout
Grass/ABI/Win64/Convention.lean	113f938007b7	277	def	Admissible
Grass/ABI/Win64/Convention.lean	113f938007b7	284	def	alignUp
Grass/ABI/Win64/Convention.lean	113f938007b7	288	def	stackArgumentBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	292	def	localOffset
Grass/ABI/Win64/Convention.lean	113f938007b7	296	def	usedCallAllocationBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	301	def	callAllocationBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	307	def	totalFrameBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	312	def	savedRegisterOffset
Grass/ABI/Win64/Convention.lean	113f938007b7	315	theorem	stackArguments_end_before_local
Grass/ABI/Win64/Convention.lean	113f938007b7	320	theorem	localOffset_aligned
Grass/ABI/Win64/Convention.lean	113f938007b7	344	theorem	allocation_contains_local
Grass/ABI/Win64/Convention.lean	113f938007b7	349	theorem	callAllocation_aligned
Grass/ABI/Win64/Convention.lean	113f938007b7	355	theorem	savedRegisterOffset_at_or_above_allocation
Grass/ABI/Win64/Convention.lean	113f938007b7	362	theorem	savedRegisterSlot_fits
Grass/ABI/Win64/Convention.lean	113f938007b7	370	theorem	savedRegisterSlots_ordered
Grass/ABI/Win64/Convention.lean	113f938007b7	377	theorem	savedRegisterSlots_disjoint
Grass/ABI/Win64/Convention.lean	113f938007b7	389	def	spike1SavedRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	392	def	spike1FrameLayout
Grass/ABI/Win64/Convention.lean	113f938007b7	398	theorem	spike1FrameLayout_admissible
Grass/ABI/Win64/Convention.lean	113f938007b7	402	def	spike1CallAllocationBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	404	theorem	spike1_stackArgumentBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	405	theorem	spike1_localOffset
Grass/ABI/Win64/Convention.lean	113f938007b7	406	theorem	spike1_callAllocationBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	407	theorem	spike1_totalFrameBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	409	theorem	spike1_savedRegisterOffsets
Grass/ABI/Win64/Convention.lean	113f938007b7	415	theorem	spike1_prologue_aligned
Grass/ABI/Win64/Convention.lean	113f938007b7	422	theorem	spike1_prologue_aligned_without_shadow
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	90	def	regNibble
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	98	inductive	UnwindOp
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	123	def	opcode
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	137	def	slots
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	144	theorem	slots_pos
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	148	def	stackDelta
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	184	def	opInfo
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	197	def	SmallAllocEncodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	204	def	LargeAllocEncodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	226	def	Encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	244	theorem	push_volatile_not_encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	258	theorem	push_rsp_not_encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	263	theorem	unaligned_alloc_not_encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	282	structure	Prologue
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	290	def	Encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	296	def	stackDelta
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	299	def	slots
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	307	def	codes
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	309	theorem	codes_length
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	313	theorem	codes_slots
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	329	theorem	codes_stackDelta
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	351	def	countOfCodes
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	355	def	arraySlots
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	357	theorem	arraySlots_even
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	361	theorem	arraySlots_ge_countOfCodes
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	368	theorem	arraySlots_le_countOfCodes_succ
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	374	def	establishesFramePointer
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	400	def	frameSpecIs
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	410	theorem	frameSpecIs_iff
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	432	theorem	regNibble_ne_zero
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	447	def	spike1Prologue
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	453	theorem	spike1Prologue_encodable
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	457	theorem	spike1Prologue_stackDelta_eq_totalFrameBytes
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	461	theorem	spike1Prologue_stackDelta
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	466	theorem	spike1Prologue_countOfCodes
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	469	theorem	spike1Prologue_no_framePointer
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	481	theorem	spike1Prologue_agrees_with_frame
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	81	def	ascends
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	87	def	Ascends
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	93	theorem	ascends_nil
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	95	theorem	ascends_singleton
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	100	theorem	Ascends.tail
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	118	structure	PlacedOp
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	134	def	toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	148	theorem	length_toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	156	theorem	toBytes_head
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	173	structure	Layout
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	183	def	prologue
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	186	def	offsets
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	224	def	WellFormed
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	238	theorem	zero_codeOffset_not_wellFormed
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	248	def	codeBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	260	def	padding
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	264	theorem	length_flatten_toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	275	theorem	length_codeBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	292	theorem	length_codeBytes_append_padding
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	307	theorem	length_codeBytes_append_padding_ge
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	315	theorem	codeBytes_padding_aligned
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	338	inductive	UnwindTail
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	356	def	flags
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	364	def	handlerRva
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	372	def	toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	386	theorem	handler_flag_iff_handler
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	397	theorem	chained_has_no_handler
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	404	theorem	length_toBytes_aligned
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	418	theorem	default_eq_noHandler
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	433	structure	FrameSpec
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	441	def	FrameSpec.declared
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	479	structure	UnwindInfo
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	514	def	mk?
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	532	theorem	mk?_isSome_iff
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	564	theorem	mk?_eq_some
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	591	def	version
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	600	def	toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	608	theorem	length_toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	623	theorem	length_toBytes_aligned
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	644	theorem	framePointer_not_rax
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	662	theorem	frameOffset_agrees
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	668	theorem	version_eq_one
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	671	theorem	version_byte
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	678	theorem	flags_byte
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	686	theorem	frameRegister_byte
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	693	theorem	frameOffset_byte
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	704	structure	RuntimeFunction
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	716	def	toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	719	theorem	length_toBytes
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	723	def	Nonempty
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	742	def	PointsOutside
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	757	structure	PdataSection
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	780	def	separated
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	786	def	Separated
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	798	def	WellFormed
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	807	theorem	bad_unwindInfo_refused
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	814	theorem	ascends_of_separated
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	840	theorem	WellFormed.ascends
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	845	def	toBytes
