path	variant	line	text
CONTRIBUTING.md	c544d854afe7	117	`Program → helloVerified → emitProgram` chain remains the priority.
CONTRIBUTING.md	c544d854afe7	118	Major milestones trigger the existing [cleanup audits](docs/SPIKE1_BOUNDARY_REVIEW.md#responsibility):
CONTRIBUTING.md	c544d854afe7	190	Complete Hello World, sort, gzip, HTTP/2 server, then spinning cube, in order.
Grass/ABI/Win64/Convention.lean	113f938007b7	24	Four things, and Spike 1 touches all four.
Grass/ABI/Win64/Convention.lean	113f938007b7	388	/-- Spike 1's saved registers, in machine push order. -/
Grass/ABI/Win64/Convention.lean	113f938007b7	389	def spike1SavedRegisters : List Gpr := [.r12, .r13, .r14]
Grass/ABI/Win64/Convention.lean	113f938007b7	391	/-- The manually supplied Spike 1 inputs to the generic frame calculation. -/
Grass/ABI/Win64/Convention.lean	113f938007b7	392	def spike1FrameLayout : CallFrameLayout where
Grass/ABI/Win64/Convention.lean	113f938007b7	396	savedRegisters := spike1SavedRegisters
Grass/ABI/Win64/Convention.lean	113f938007b7	398	theorem spike1FrameLayout_admissible : spike1FrameLayout.Admissible := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	402	def spike1CallAllocationBytes : Nat := spike1FrameLayout.callAllocationBytes
Grass/ABI/Win64/Convention.lean	113f938007b7	404	theorem spike1_stackArgumentBytes : spike1FrameLayout.stackArgumentBytes = 8 := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	405	theorem spike1_localOffset : spike1FrameLayout.localOffset = 40 := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	406	theorem spike1_callAllocationBytes : spike1CallAllocationBytes = 48 := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	407	theorem spike1_totalFrameBytes : spike1FrameLayout.totalFrameBytes = 72 := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	409	theorem spike1_savedRegisterOffsets :
Grass/ABI/Win64/Convention.lean	113f938007b7	410	spike1FrameLayout.savedRegisterOffset 0 = 64 ∧
Grass/ABI/Win64/Convention.lean	113f938007b7	411	spike1FrameLayout.savedRegisterOffset 1 = 56 ∧
Grass/ABI/Win64/Convention.lean	113f938007b7	412	spike1FrameLayout.savedRegisterOffset 2 = 48 := by decide
Grass/ABI/Win64/Convention.lean	113f938007b7	414	/-- Spike 1's call alignment is an instance of the generic layout contract. -/
Grass/ABI/Win64/Convention.lean	113f938007b7	415	theorem spike1_prologue_aligned : AlignedForCall 3 spike1CallAllocationBytes := by
Grass/ABI/Win64/Convention.lean	113f938007b7	416	simpa [spike1FrameLayout, spike1SavedRegisters, spike1CallAllocationBytes] using
Grass/ABI/Win64/Convention.lean	113f938007b7	417	spike1FrameLayout.callAllocation_aligned
Grass/ABI/Win64/Convention.lean	113f938007b7	422	theorem spike1_prologue_aligned_without_shadow : AlignedForCall 3 0 := by decide
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	346	Spike 1's, whose four slots need no padding, so nothing already in this file
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	439	/-! ## Spike 1's prologue -/
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	444	The prologue of `Spikes/1_Hello_World/Program.lean`, as the unwind language
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	447	def spike1Prologue : Prologue :=
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	448	{ ops := spike1SavedRegisters.map .pushNonvolatile ++
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	449	[.allocSmall spike1CallAllocationBytes] }
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	453	theorem spike1Prologue_encodable : spike1Prologue.Encodable := by decide
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	457	theorem spike1Prologue_stackDelta_eq_totalFrameBytes :
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	458	spike1Prologue.stackDelta = spike1FrameLayout.totalFrameBytes := by decide
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	460	/-- Numeric regression assertion for the selected Spike 1 fixture. -/
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	461	theorem spike1Prologue_stackDelta : spike1Prologue.stackDelta = 72 := by
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	462	rw [spike1Prologue_stackDelta_eq_totalFrameBytes, spike1_totalFrameBytes]
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	466	theorem spike1Prologue_countOfCodes : spike1Prologue.countOfCodes = 4 := by decide
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	469	theorem spike1Prologue_no_framePointer :
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	470	spike1Prologue.establishesFramePointer = false := by decide
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	476	`AlignedForCall 3 spike1CallAllocationBytes` counts pushes and the adjustment
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	481	theorem spike1Prologue_agrees_with_frame :
Grass/ABI/Win64/Unwind.lean	5cd62e2f8a62	482	(entryMisalignment + spike1Prologue.stackDelta) % stackAlignment = 0 := by decide
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	956	/-! ## Spike 1
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	963	actual encoded instructions. Spike 1 pushes `r12`, `r13` and `r14`,
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	969	/-- Spike 1's prologue with offsets: three two-byte pushes ending at 2, 4 and 6,
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	971	def spike1Layout : Layout :=
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	976	, ⟨.allocSmall spike1CallAllocationBytes, 10⟩ ]
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	980	theorem spike1Layout_wellFormed : spike1Layout.WellFormed := by decide
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	983	theorem spike1Layout_prologue : spike1Layout.prologue = spike1Prologue := by decide
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	986	theorem spike1Layout_padding : spike1Layout.padding = [] := by decide
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	988	/-- Spike 1's `UNWIND_INFO`: no handler, no frame pointer. -/
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	989	def spike1UnwindInfo : UnwindInfo :=
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	990	{ layout := spike1Layout
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	993	layoutWellFormed := spike1Layout_wellFormed
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	1002	`spike1Layout` establishes no frame pointer, so it exercises none of the frame
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	1036	The exact `.xdata` bytes for Spike 1.
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	1048	theorem spike1UnwindInfo_toBytes :
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	1049	spike1UnwindInfo.toBytes =
Grass/ABI/Win64/UnwindBytes.lean	e927c51971b9	1058	theorem spike1UnwindInfo_length : spike1UnwindInfo.toBytes.length = 12 := by decide
Grass/Assembly/SourceInput.lean	56136a9eeb60	1	/-! Narrow, lossless ingress for the actual Spike 1 `asm_source` body. -/
Grass/Assembly/SourceInput.lean	56136a9eeb60	98	"| .word ""def"", .word ""helloSource"" => match assemblyStart? ts with"
Grass/Assembly/SourceInput.lean	56136a9eeb60	105	@[reducible] private def helloSourceCount : List Token → Nat
Grass/Assembly/SourceInput.lean	56136a9eeb60	107	"(if a.kind = .word ""def"" && b.kind = .word ""helloSource"" then 1 else 0) +"
Grass/Assembly/SourceInput.lean	56136a9eeb60	108	helloSourceCount (b :: rest)
Grass/Assembly/SourceInput.lean	56136a9eeb60	155	@[reducible] def extractHelloSourceChars (source : List Char) : Except Error Body :=
Grass/Assembly/SourceInput.lean	56136a9eeb60	160	if found.length != helloSourceCount ts then .error .malformed else match found with
Grass/Assembly/SourceInput.lean	56136a9eeb60	169	@[reducible] def extractHelloSource (source : String) : Except Error Body :=
Grass/Assembly/SourceInput.lean	56136a9eeb60	170	extractHelloSourceChars source.toList
Grass/Assembly/SourceTemplates.lean	3c994550a4cf	11	checked CFG indices. Hello has 50 retained statements and 42 `CodeItem`s.
Grass/Assembly/Win32Constants.lean	bf8949438924	6	/-! Lower the two named Win32 constants used by the Spike 1 source.  Values
Grass/Assembly/X86Source.lean	1a5650a8fdec	4	/-! Complete syntactic ingress for the instruction forms used by Spike 1. -/
Grass/Console/TargetProjection.lean	ea3105375bdb	60	/-- The representation selected by authored Windows Hello; no message or policy
Grass/ISA/X86/Bytes.lean	63a60f5a6407	17	The opcode bytes were the visible symptom: `Tests/ISA/X86/Spike1Addressing.lean`
Grass/ISA/X86/Bytes.lean	63a60f5a6407	267	the form Spike 1 depends on;
Grass/ISA/X86/Decode.lean	9fea6d87f2c3	31	The opcodes below are the ones this profile models, which is Spike 1's
Grass/ISA/X86/Decode.lean	9fea6d87f2c3	140	Spike 1's instruction set, plus the forms the probe corpus executes. Anything
Grass/ISA/X86/Execution/Instruction.lean	e6b2952dbb35	12	another opcode table or a handwritten Hello sequence. Classification does not
Grass/ISA/X86/Execution/LeaNormal.lean	a2c8a4545114	4	/-! Bounded normal completion for the two 64-bit LEA addressing forms emitted by Hello. -/
Grass/ISA/X86/ImmediateArithmetic.lean	fc3099667fb0	10	/-- The Group 1 operations needed by the Hello source. -/
Grass/ISA/X86/Register.lean	9a4441ed2727	12	x86-64 has three different answers for one question, and Spike 1 depends on all
Grass/ISA/X86/Register.lean	9a4441ed2727	21	`Spikes/1_Hello_World/Program.lean` writes `r14d` and then uses `r13`/`r14` as
Grass/ISA/X86/Register.lean	9a4441ed2727	236	because `FF /2` is a near branch, and `Spikes/1_Hello_World/Program.lean` opens
Grass/ISA/X86/RegisterLaws.lean	b1b0d72578b0	4	Pure arithmetic and branch-predicate laws for Hello's register operations.
Grass/ISA/X86/RegisterSemantics.lean	ecf39c970169	4	Operand-local x86-64 register semantics for the Hello arithmetic family.
Grass/Memory/Access.lean	278175b3abd7	366	"`Tests/Memory/Spike1Reference.lean` saying ""`AccessDescriptor.committedWriteRange` is"
Grass/Memory/AddressSpace.lean	81fbd8d68ba6	377	symbolic space under `win32.processHeap` -- an allocator name Spike 1's own profile uses
Grass/Memory/Apply.lean	d05847463318	343	`Tests/Memory/Spike1Block.lean` and `Tests/Memory/StraightLineBlock.lean` both run
